show_id,title,short_title,creator,seasons,episodes,primary_time,rating,premiere_date,finale_date,channel
55,Take Two with Phineas and Ferb,TTPAF,"Dan Povenmire, Jeff ""Swampy"" Marsh",1,20,5,TV-G,2010-12-03,2011-11-25,Disney Channel
56,Jake and the Never Land Pirates,JNLP,Bobs Gannaway,4,215,11,TV-Y,2011-02-14,2016-11-06,Disney Channel
57,Motorcity,MOTOR,"Chris Prynoski, David Bickel",1,20,22,TV-Y7,2012-04-30,2013-01-07,Disney XD
58,Tron: Uprising,TRON,"Edward Kitsis, Adam Horowitz",1,19,22,TV-Y7,2012-05-18,2013-01-28,Disney XD
59,Gravity Falls,GF,Alex Hirsch,2,40,22,TV-Y7,2012-06-15,2016-02-15,"Disney Channel, Disney XD"
60,Randy Cunningham: 9th Grade Ninja,RC9GN,"Jed Elinoff, Scott Thomas",2,100,11,TV-G,2012-08-13,2015-07-27,Disney XD
61,Sofia the First,SOFIA,Craig Gerber,4,109,22,TV-Y,2013-01-11,2018-09-08,Disney Junior
62,Mickey Mouse,MM,Paul Rudish,5,96,5,TV-G,2013-06-28,2019-07-20,Disney Channel
63,Wander Over Yonder,WOY,Craig McCracken,2,79,11,TV-Y7,2013-08-16,2016-06-27,"Disney Channel, Disney XD"
64,The 7D,7D,"Tom Ruegger, Mr. Warburton, Noah Z. Jones",2,87,11,TV-Y,2014-07-07,2016-11-05,Disney XD
65,Penn Zero: Part-Time Hero,ZERO,"Jared Bush, Sam Levine",2,61,11,TV-Y7,2014-12-05,2017-07-28,Disney XD
66,Star vs. the Forces of Evil,STAR,Daron Nefcy,4,140,11,TV-Y7,2015-01-18,2019-05-19,"Disney Channel, Disney XD"
67,Two More Eggs,EGGS,The Brothers Chaps,3,90,5,TV-Y7,2015-08-10,2017-09-04,Disney XD
68,Pickle and Peanut,PAP,"Noah Z. Jones, Joel Trussell",2,82,11,TV-14,2015-09-07,2018-01-20,Disney XD
69,Descendants: Wicked World,DESC,"Aliki Theofilopoulos, Jennifer Magee-Cook",3,36,5,TV-Y7,2015-09-18,2017-03-03,Disney Channel
70,The Lion Guard,LION,Ford Riley,3,74,22,TV-Y,2016-01-15,2019-11-03,Disney Junior
71,Elena of Avalor,ELENA,Craig Gerber,3,77,22,TV-Y,2016-07-22,2020-08-23,"Disney Channel, Disney Junior"
72,Future-Worm!,FW,Ryan Quincy,1,60,11,TV-Y7,2016-08-01,2018-05-19,Disney XD
73,Milo Murphy's Law,MILO,"Dan Povenmire, Jeff ""Swampy"" Marsh",2,73,11,TV-Y7,2016-10-03,2019-05-18,"Disney Channel, Disney XD"
74,Mickey Mouse Mixed-Up Adventures,MMMUA,"Rob LaDuca, Mark Seidenberg",3,174,11,TV-Y,2017-01-15,2021-10-01,Disney Junior
75,Rapunzel's Tangled Adventure,TNGLD,"Shane Prigmore, Chris Sonnenburg",3,60,22,TV-Y7,2017-03-24,2020-03-01,Disney Channel
76,Billy Dilley's Super-Duper Subterranean Summer,BILLY,Aaron Springer,1,25,11,TV-Y7,2017-06-03,2017-06-15,Disney XD
77,DuckTales (2017),DT17,"Matt Youngberg, Francisco Angones",3,69,22,TV-Y,2017-08-12,2021-03-15,"Disney Channel, Disney XD"
78,Big Hero 6: The Series,BH6,"Mark McCorkle, Bob Schooley",3,66,22,TV-Y7,2017-11-20,2021-02-15,"Disney Channel, Disney XD"
79,Big City Greens,BCG,The Houghton Brothers,4,210,11,TV-Y7,2018-06-18,2026-12-31,Disney Channel
80,Fancy Nancy,NANCY,"Anne Smith, Jamie Mitchell, Krista Tucker",3,123,11,TV-Y,2018-07-13,2022-02-18,Disney Junior
81,Amphibia,AMP,Matt Braly,3,106,11,TV-Y7,2019-06-17,2022-05-14,Disney Channel
82,The Owl House,TOH,Dana Terrace,3,43,22,TV-Y7-FV,2020-01-10,2023-04-08,Disney Channel
83,The Wonderful World of Mickey Mouse,WWMM,Paul Rudish,2,25,5,TV-G,2020-11-18,2023-07-28,Disney+
84,Monsters at Work,MAW,Bobs Gannaway,2,20,22,TV-G,2021-07-07,2024-05-04,Disney+
85,Mickey Mouse Funhouse,MMF,"Phil Weinstein, Thomas Hart",3,151,11,TV-Y,2021-07-16,2025-04-25,Disney Junior
86,The Ghost and Molly McGee,TGAMM,"Bill Motz, Bob Roth",2,78,11,TV-Y7,2021-10-01,2024-01-13,Disney Channel
87,"Rise Up, Sing Out",SING,"Latoya Raveneau, Questlove",2,15,5,TV-G,2022-02-02,2025-01-24,Disney Junior
88,Alice's Wonderland Bakery,ALICE,Chelsea Beyl,2,98,11,TV-Y,2022-02-09,2024-04-15,Disney Junior
89,The Proud Family: Louder and Prouder,PROUD,"Bruce W. Smith, Ralph Farquhar",3,29,22,TV-PG,2022-02-23,2026-12-31,Disney+
90,Chibiverse,CHIBI,Gino Guzzardo,3,11,22,TV-Y7,2022-07-30,2026-12-31,Disney Channel
91,Hamster & Gretel,HAG,Dan Povenmire,2,96,11,TV-Y7,2022-08-12,2025-04-13,Disney Channel
92,Firebuds,FIRE,Craig Gerber,3,119,11,TV-Y,2022-09-21,2025-12-04,Disney Junior
93,Moon Girl and Devil Dinosaur,MGADD,"Steve Loter, Jeffrey M. Howard, Kate Kondell",2,41,22,TV-Y7-FV,2023-02-10,2025-03-08,Disney Channel
94,Kiff,KIFF,"Lucy Heavens, Nic Smal",2,114,11,TV-Y7,2023-03-10,2026-12-31,Disney Channel
95,Hailey's On It!,HOI,"Devin Bunje, Nick Stanton",1,56,11,TV-Y7,2023-06-08,2024-05-18,Disney Channel
96,Playdate with Winnie the Pooh,PDWP,Oddbot Inc.,2,30,11,TV-G,2023-08-08,2025-04-09,Disney Junior
97,Ariel,ARIEL,Lynne Southerland,2,73,11,TV-Y,2024-06-27,2026-12-31,Disney Junior
98,Zombies: The Re-Animated Series,ZMB,"Aliki Theofilopoulos, Jack Ferraiolo",1,37,11,TV-PG,2024-06-28,2024-12-07,"Disney Channel, Disney+"
99,Primos,PRIMO,Natasha Kline,1,55,11,TV-Y7,2024-07-25,2025-04-27,Disney Channel
100,StuGo,STUGO,Ryan Gillis,1,40,11,TV-G,2025-01-11,2025-05-03,Disney Channel
101,RoboGobo,ROBO,Chris Gilligan,2,50,11,TV-Y,2025-01-17,2026-12-31,Disney Junior
102,Phineas and Ferb,PAF,"Dan Povenmire, Jeff ""Swampy"" Marsh",5,257,11,TV-G,2025-06-05,2026-12-31,Disney Channel
103,Mickey Mouse Clubhouse+,MMCP,"Rob LaDuca, Kim Duran",1,19,22,TV-Y,2025-07-21,2026-12-31,Disney Junior
